ID,conc,ind,qst,X,Y
6,Conc1.JPG,2,B5,-1,-1
6,Conc1.JPG,2,B6,-1,-1
6,Conc1.JPG,2,B7,-1,-1
6,Conc1.JPG,3,B4,272,336
6,Conc1.JPG,3,B5,-1,-1
6,Conc1.JPG,3,B6,-1,-1
6,Conc1.JPG,3,B7,-1,-1
6,Conc1.JPG,4,B4,456,368
6,Conc1.JPG,4,B5,-1,-1
6,Conc1.JPG,4,B6,-1,-1
6,Conc1.JPG,4,B7,-1,-1
6,Conc1.JPG,5,B4,77,394
6,Conc1.JPG,5,B5,-1,-1
6,Conc1.JPG,5,B6,-1,-1
6,Conc1.JPG,5,B7,-1,-1
6,Conc1.JPG,6,B4,218,394
6,Conc1.JPG,6,B5,-1,-1
6,Conc1.JPG,6,B6,-1,-1
6,Conc1.JPG,6,B7,-1,-1
6,Conc1.JPG,7,B4,292,395
6,Conc1.JPG,7,B5,-1,-1
6,Conc1.JPG,7,B6,-1,-1
6,Conc1.JPG,7,B7,-1,-1
6,Conc1.JPG,8,B4,397,393
6,Conc1.JPG,8,B5,-1,-1
6,Conc1.JPG,8,B6,-1,-1
6,Conc1.JPG,8,B7,-1,-1
6,Conc1.JPG,9,B4,507,387
6,Conc1.JPG,9,B5,-1,-1
6,Conc1.JPG,9,B6,-1,-1
6,Conc1.JPG,9,B7,-1,-1
6,Conc1.JPG,10,B4,-1,-1
6,Conc1.JPG,10,B5,-1,-1
6,Conc1.JPG,10,B6,-1,-1
6,Conc1.JPG,10,B7,-1,-1
6,Conc1.JPG,11,B4,-1,-1
6,Conc1.JPG,11,B5,-1,-1
6,Conc1.JPG,11,B6,-1,-1
6,Conc1.JPG,11,B7,-1,-1
6,Conc1.JPG,12,B4,-1,-1
6,Conc1.JPG,12,B5,-1,-1
6,Conc1.JPG,12,B6,-1,-1
6,Conc1.JPG,12,B7,-1,-1
6,Conc1.JPG,13,B4,-1,-1
6,Conc1.JPG,13,B5,-1,-1
6,Conc1.JPG,13,B6,-1,-1
6,Conc1.JPG,13,B7,-1,-1
6,Conc1.JPG,14,B4,-1,-1
6,Conc1.JPG,14,B5,-1,-1
6,Conc1.JPG,14,B6,-1,-1
6,Conc1.JPG,14,B7,-1,-1
6,Conc1.JPG,15,B4,-1,-1
6,Conc1.JPG,15,B5,-1,-1
6,Conc1.JPG,15,B6,-1,-1
6,Conc1.JPG,15,B7,-1,-1
6,Conc1.JPG,16,B4,-1,-1
6,Conc1.JPG,16,B5,-1,-1
6,Conc1.JPG,16,B6,-1,-1
6,Conc1.JPG,16,B7,-1,-1
6,Conc1.JPG,17,B4,-1,-1
6,Conc1.JPG,17,B5,-1,-1
6,Conc1.JPG,17,B6,-1,-1
6,Conc1.JPG,17,B7,-1,-1
6,Conc1.JPG,18,B4,-1,-1
6,Conc1.JPG,18,B5,-1,-1
6,Conc1.JPG,18,B6,-1,-1
6,Conc1.JPG,18,B7,-1,-1
6,Conc1.JPG,19,B4,-1,-1
6,Conc1.JPG,19,B5,-1,-1
6,Conc1.JPG,19,B6,-1,-1
6,Conc1.JPG,19,B7,-1,-1
6,Conc1.JPG,20,B4,-1,-1
6,Conc1.JPG,20,B5,-1,-1
6,Conc1.JPG,20,B6,-1,-1
6,Conc1.JPG,20,B7,-1,-1
6,Conc1.JPG,21,B4,-1,-1
6,Conc1.JPG,21,B5,-1,-1
